logistic_regression,logreg_log2fc,random_forest_classification,rf_log2fc
ENSG00000251101,0.4069152614932244,ENSG00000139547,-1.3845748267526865
ENSG00000144355,0.8131147402052559,ENSG00000205795,-0.34821488880675977
ENSG00000116675,1.80297046222188,ENSG00000114346,1.9458821045386028
ENSG00000168955,3.0546770494933844,ENSG00000123843,-0.49942052744094134
ENSG00000236679,0.8219156658365191,ENSG00000157456,2.681730212245524
ENSG00000186564,0.8863611715258107,ENSG00000095932,-1.515152322337388
ENSG00000117399,3.381459647140189,ENSG00000284779,-2.219934753729925
ENSG00000169607,2.5278513767436475,ENSG00000130812,-1.5725682217240586
ENSG00000143248,1.3184907509560428,ENSG00000178691,1.6058707205875127
ENSG00000228897,0.22031586625074856,ENSG00000112118,2.0817228310716196
ENSG00000061337,0.6048954239090996,ENSG00000124713,-1.1541773386328158
ENSG00000133069,0.3055712997023986,ENSG00000166741,-1.470072042391779
ENSG00000117600,1.1015027611746044,ENSG00000204291,2.4066672562786073
ENSG00000135845,1.425520620743801,ENSG00000112984,2.3205919226299967
ENSG00000205639,0.9346897436534679,ENSG00000131747,3.2446716914848333
ENSG00000151789,1.120598952114152,ENSG00000021852,-1.0117592698767428
ENSG00000198892,1.5147996597176405,ENSG00000087237,-1.6237023921138318
ENSG00000211451,0.7046427064079002,ENSG00000117643,-1.0861797123508676
ENSG00000171611,0.33229719440571875,ENSG00000165304,2.5964774711987584
ENSG00000183856,2.5953261702797494,ENSG00000072571,2.311803000708278
ENSG00000172016,3.5168871022410757,ENSG00000184374,-1.439645309258057
ENSG00000232752,0.14514756359002007,ENSG00000099290,1.43763982301369
ENSG00000248196,0.2865812973884988,ENSG00000060971,-0.8075320642022259
ENSG00000188859,1.0082617192381857,ENSG00000136872,-0.9048388886052408
ENSG00000169679,2.5416801805471883,ENSG00000241399,-0.888210492379713
ENSG00000179348,0.41427832859886404,ENSG00000141485,-0.6870999218688292
ENSG00000082684,0.9070842704564401,ENSG00000115009,1.0313261643373277
ENSG00000281379,1.4521075006268371,ENSG00000104267,-0.750110787103754
ENSG00000242097,0.14644048331772047,ENSG00000091409,1.7168153205128291
ENSG00000134222,1.831894643023291,ENSG00000175305,2.079160605100439
ENSG00000134690,2.491992978485627,ENSG00000112144,1.5723548046880582
ENSG00000241186,1.8821441879965728,ENSG00000248144,-1.0684828237851018
ENSG00000189157,0.9237111736325905,ENSG00000186185,2.0663762554828784
ENSG00000233266,0.20432766180311557,ENSG00000137033,-0.5040976171929414
ENSG00000231508,0.7388320483062694,ENSG00000117593,1.4237850591569696
ENSG00000095970,2.2923052558274764,ENSG00000148773,2.5872328017599564
ENSG00000123485,2.51096862544,ENSG00000118137,-0.8909270554935667
ENSG00000142945,2.709302532211111,ENSG00000104635,-0.3822147662121864
ENSG00000231494,-0.007801445676721863,ENSG00000118271,-1.2594767371228706
ENSG00000145386,2.439677667467878,ENSG00000100170,-0.2268494263627625
ENSG00000228217,0.1789235607031438,ENSG00000139734,1.7946514861333873
ENSG00000074657,1.6458910916520004,ENSG00000169764,-0.7191070046066823
ENSG00000231916,0.796754178478535,ENSG00000240303,-0.6296473419017614
ENSG00000226621,0.5732022288233575,ENSG00000171388,1.5138844906352558
ENSG00000271097,0.6482597427841934,ENSG00000121621,1.7124470429265926
ENSG00000236004,0.1680503770495177,ENSG00000237649,2.318470981144351
ENSG00000121152,2.2003801999118444,ENSG00000125730,-0.36088354496035
ENSG00000180867,1.5880673970929462,ENSG00000221886,1.3821085729644569
ENSG00000176194,0.41619749996565836,ENSG00000115718,-0.644069248954521
ENSG00000259086,0.35553203183461535,ENSG00000124207,1.53002997746127
ENSG00000123080,2.06788340461255,ENSG00000010610,-0.5446493102645578
ENSG00000278384,1.5126578955860601,ENSG00000167588,-0.768847072407767
ENSG00000177628,1.8487108569211834,ENSG00000145321,-0.6345877736614725
ENSG00000133985,1.2879142046122931,ENSG00000163873,-0.24050296637912372
ENSG00000117632,2.510064586034897,ENSG00000117594,-0.6897931155302199
ENSG00000240003,0.3468522814235863,ENSG00000221926,2.1857656974703445
ENSG00000168152,0.38508246219036213,ENSG00000139572,0.12100180075387046
ENSG00000233494,1.4481799173649987,ENSG00000168078,2.8000997669296126
ENSG00000171757,0.5277409835583875,ENSG00000088325,2.62677008797413
ENSG00000225522,0.3439238005402745,ENSG00000153187,0.6916150980541076
ENSG00000251039,-1.0901585310611277,ENSG00000106536,-0.3330172413768997
ENSG00000168243,2.9385199319999624,ENSG00000159200,-1.169625069084045
ENSG00000237317,0.23084975573341185,ENSG00000198203,3.558436987905353
ENSG00000198074,4.836612594310708,ENSG00000160917,1.2735440747892808
ENSG00000173207,1.6145670771363516,ENSG00000143257,-0.3683591172160403
ENSG00000179930,0.9871701208388466,ENSG00000163535,1.82411253166996
ENSG00000278139,0.27522755664554527,ENSG00000125551,-0.9007541704347704
ENSG00000162366,2.1049228743888873,ENSG00000134240,-0.5726906867395751
ENSG00000232409,0.9728043007106093,ENSG00000123179,0.14375730334775394
ENSG00000229991,0.254021432227046,ENSG00000115963,-1.4099475321838044
ENSG00000230547,0.49301949731751515,ENSG00000160323,-1.568408753050396
ENSG00000135638,0.9531936875383404,ENSG00000162551,-1.0908224715329364
ENSG00000227684,0.6472655824006673,ENSG00000103876,-0.24604805018560238
ENSG00000078900,1.099220898489313,ENSG00000198892,1.5147996597176405
ENSG00000285458,0.89036241707982,ENSG00000235055,-0.6480004002686374
ENSG00000220600,0.21919681869196583,ENSG00000117009,-1.2157907628163631
ENSG00000163751,0.4630528125155928,ENSG00000170312,3.2356014760089002
ENSG00000163535,1.82411253166996,ENSG00000121900,1.2597982446042115
ENSG00000143994,0.17723896604661293,ENSG00000055955,-1.1666342748251814
ENSG00000143318,0.38010985019247456,ENSG00000144655,-1.258612442948789
ENSG00000067798,1.2612669775433791,ENSG00000109181,-0.9461843200138995
ENSG00000121957,2.225559470522631,ENSG00000133800,-1.5570657125779102
ENSG00000142973,0.24434306523031118,ENSG00000160551,1.5222793946116564
ENSG00000121446,1.6736938229121023,ENSG00000150681,-0.6446744108179479
ENSG00000185291,1.0140452896498044,ENSG00000105697,-3.124245648633009
ENSG00000169855,2.5952091306606633,ENSG00000196659,0.6127398707748142
ENSG00000151773,1.693119826952874,ENSG00000148175,-0.2411934107291991
ENSG00000275348,-0.5194954764392058,ENSG00000168389,-1.3705128960816104
ENSG00000228238,0.33652016153043895,ENSG00000174371,2.470043251806847
ENSG00000286095,0.09156387549163747,ENSG00000073754,-1.9990750705629443
ENSG00000175920,0.7089726477574978,ENSG00000158050,-0.4831634845947361
ENSG00000157064,0.9195546841197392,ENSG00000101951,3.519721941744896
ENSG00000163377,1.4387703279652864,ENSG00000197535,1.2303507875465742
ENSG00000161649,0.11765008212680117,ENSG00000163687,-2.041893001457929
ENSG00000085999,2.2710725431102396,ENSG00000166710,0.469458326758458
ENSG00000205581,1.306428575657785,ENSG00000177606,-0.6866306569517535
ENSG00000110799,1.7698763722666389,ENSG00000114812,-2.336960863548758
ENSG00000140519,1.5102878656366114,ENSG00000138160,1.8090566019989727
ENSG00000215859,0.5802655979341984,ENSG00000111713,-0.9179628177359724
ENSG00000232879,1.2508919435615018,ENSG00000106927,-0.5379830704985391
ENSG00000244371,0.23237305575832934,ENSG00000103495,1.2284935367095775
ENSG00000203546,0.3775838193752781,ENSG00000175063,3.3893433430966726
ENSG00000173698,1.3492671132996399,ENSG00000175497,0.21207809631676722
ENSG00000128709,1.4853576594226028,ENSG00000100577,-1.254737202143989
ENSG00000219391,1.5097223876871204,ENSG00000145536,1.4896395944530747
ENSG00000113296,2.814601427221163,ENSG00000101981,-0.90661438690978
ENSG00000228615,0.03630118379897957,ENSG00000196502,-0.7946837149963555
ENSG00000163517,1.5812262816137244,ENSG00000176907,-1.268900125333304
ENSG00000154096,2.015201829084834,ENSG00000187889,-0.8186478240305997
ENSG00000172331,1.1893600874044203,ENSG00000173894,1.230228959145433
ENSG00000150551,1.7350444103554135,ENSG00000168874,-1.5625589505781217
ENSG00000198216,2.065350559091221,ENSG00000067064,1.4082354800102586
ENSG00000147364,0.8476114306956353,ENSG00000179388,-0.8107167859829119
