"CommonWith","CommonWithout","CommonIntersection","Uncommen","UncommonWith","UncommonWithout"
"tubulin binding","negative regulation of cellular process","positive regulation of chromosome segregation",NA,NA,NA
"mitotic metaphase chromosome alignment","cyclin-dependent protein kinase holoenzyme complex","positive regulation of chromosome separation",NA,NA,NA
"attachment of mitotic spindle microtubules to kinetochore","meiotic cell cycle","regulation of biological process",NA,NA,NA
"female gamete generation","oxidoreductase activity","positive regulation of mitotic sister chromatid separation",NA,NA,NA
"protein-containing complex organization","organelle organization","regulation of catalytic activity",NA,NA,NA
"meiotic cell cycle process","negative regulation of organelle organization","regulation of cellular process",NA,NA,NA
"positive regulation of biological process","spindle pole","biological regulation",NA,NA,NA
"positive regulation of cellular process","membraneless organelle","regulation of organelle organization",NA,NA,NA
"meiotic cell cycle","intracellular membraneless organelle","cyclin-dependent protein serine/threonine kinase regulator activity",NA,NA,NA
"microtubule organizing center","meiotic cell cycle process","cellular component disassembly",NA,NA,NA
"protein-containing complex","nucleus","reproductive process",NA,NA,NA
"telomere organization","enzyme binding","microtubule associated complex",NA,NA,NA
"peptidase inhibitor activity","biological regulation","nucleus",NA,NA,NA
"negative regulation of organelle organization","regulation of hormone levels","positive regulation of mitotic nuclear division",NA,NA,NA
"chromosome condensation","supramolecular complex","regulation of transferase activity",NA,NA,NA
"enzyme regulator activity","positive regulation of programmed cell death","multicellular organismal reproductive process",NA,NA,NA
"meiosis I","positive regulation of transport","positive regulation of mitotic metaphase/anaphase transition",NA,NA,NA
"positive regulation of nuclear division","chromatin","positive regulation of metaphase/anaphase transition of cell cycle",NA,NA,NA
"cytoskeleton organization","collagen-containing extracellular matrix","regulation of hormone levels",NA,NA,NA
"anaphase-promoting complex","regulation of cellular process","nucleoplasm",NA,NA,NA
"positive regulation of chromosome segregation","mitotic metaphase chromosome alignment","regulation of protein metabolic process",NA,NA,NA
"positive regulation of chromosome separation","microtubule associated complex","regulation of G2/M transition of mitotic cell cycle",NA,NA,NA
"regulation of biological process","regulation of biological process","regulation of molecular function",NA,NA,NA
"positive regulation of mitotic sister chromatid separation","external encapsulating structure",NA,NA,NA,NA
"centrosome","extracellular matrix",NA,NA,NA,NA
"organelle localization","regulation of catalytic activity",NA,NA,NA,NA
"regulation of catalytic activity","sexual reproduction",NA,NA,NA,NA
"establishment of organelle localization","cytoskeleton organization",NA,NA,NA,NA
"peptidase regulator activity","positive regulation of mitotic nuclear division",NA,NA,NA,NA
"spindle microtubule","microtubule binding",NA,NA,NA,NA
"regulation of cellular process","positive regulation of chromosome segregation",NA,NA,NA,NA
"positive regulation of cell cycle G1/S phase transition","regulation of transferase activity",NA,NA,NA,NA
"molecular function regulator activity","monocarboxylic acid biosynthetic process",NA,NA,NA,NA
"cellular response to stimulus","positive regulation of mitotic metaphase/anaphase transition",NA,NA,NA,NA
"biological regulation","positive regulation of metaphase/anaphase transition of cell cycle",NA,NA,NA,NA
"regulation of protein catabolic process","hormone metabolic process",NA,NA,NA,NA
"regulation of organelle organization","liver regeneration",NA,NA,NA,NA
"kinase binding","regulation of GTPase activity",NA,NA,NA,NA
"cyclin-dependent protein serine/threonine kinase regulator activity","attachment of mitotic spindle microtubules to kinetochore",NA,NA,NA,NA
"spindle midzone","cellular component disassembly",NA,NA,NA,NA
"cellular component disassembly","regulation of molecular function",NA,NA,NA,NA
"reproductive process","microtubule cytoskeleton organization",NA,NA,NA,NA
"centrosome localization","regulation of G2/M transition of mitotic cell cycle",NA,NA,NA,NA
"microtubule organizing center localization","reproductive process",NA,NA,NA,NA
"microtubule associated complex","developmental process",NA,NA,NA,NA
"signal transduction","regulation of organelle organization",NA,NA,NA,NA
"nucleus","cell death",NA,NA,NA,NA
"organelle assembly","programmed cell death",NA,NA,NA,NA
"positive regulation of mitotic nuclear division","regulation of protein metabolic process",NA,NA,NA,NA
"gamete generation","apoptotic process",NA,NA,NA,NA
"chromosome, telomeric region","regulation of cell cycle G1/S phase transition",NA,NA,NA,NA
"regulation of transferase activity","regulation of peptide transport",NA,NA,NA,NA
"positive regulation of organelle organization","microtubule cytoskeleton",NA,NA,NA,NA
"supramolecular polymer","nucleoplasm",NA,NA,NA,NA
"multicellular organismal reproductive process","multicellular organismal reproductive process",NA,NA,NA,NA
"protein kinase binding","anion binding",NA,NA,NA,NA
"DNA replication",NA,NA,NA,NA,NA
"cytoskeletal protein binding",NA,NA,NA,NA,NA
"positive regulation of mitotic metaphase/anaphase transition",NA,NA,NA,NA,NA
"positive regulation of metaphase/anaphase transition of cell cycle",NA,NA,NA,NA,NA
"intercellular bridge",NA,NA,NA,NA,NA
"regulation of kinase activity",NA,NA,NA,NA,NA
"kinesin binding",NA,NA,NA,NA,NA
"mitotic spindle pole",NA,NA,NA,NA,NA
"regulation of ubiquitin-protein transferase activity",NA,NA,NA,NA,NA
"regulation of hormone levels",NA,NA,NA,NA,NA
"negative regulation of response to wounding",NA,NA,NA,NA,NA
"positive regulation of catalytic activity",NA,NA,NA,NA,NA
"anterior/posterior axis specification",NA,NA,NA,NA,NA
"small GTPase-mediated signal transduction",NA,NA,NA,NA,NA
"cytoskeleton",NA,NA,NA,NA,NA
"nucleoplasm",NA,NA,NA,NA,NA
"regulation of protein metabolic process",NA,NA,NA,NA,NA
"regulation of protein kinase activity",NA,NA,NA,NA,NA
"anatomical structure development",NA,NA,NA,NA,NA
"regulation of G2/M transition of mitotic cell cycle",NA,NA,NA,NA,NA
"protein serine kinase activity",NA,NA,NA,NA,NA
"sister chromatid cohesion",NA,NA,NA,NA,NA
"regulation of cell cycle G2/M phase transition",NA,NA,NA,NA,NA
"positive regulation of protein metabolic process",NA,NA,NA,NA,NA
"histone kinase activity",NA,NA,NA,NA,NA
"regulation of molecular function",NA,NA,NA,NA,NA
"positive regulation of G2/M transition of mitotic cell cycle",NA,NA,NA,NA,NA
